Step,Training Loss,Validation Loss,Roberta Model Accuracy
250,0.842900,0.905619,0.679941
500,0.550600,0.647354,0.784661
750,0.448800,0.597781,0.814159
1000,0.364300,0.874650,0.792035
1250,0.328600,0.633260,0.824484
1500,0.251000,0.839118,0.815634
1750,0.193100,0.878693,0.836283
2000,0.125600,1.028521,0.814159
2250,0.118400,1.007266,0.828909
2500,0.072300,1.100358,0.830383
2750,0.057800,1.229053,0.814159
3000,0.047300,1.113282,0.839233
3250,0.049400,1.165326,0.833333
